model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
7 Series,2019,Semi-Auto,101,Diesel,145,41.5,3.0,48782
2 Series,2015,Manual,25637,Petrol,300,34.9,3.0,17261
1 Series,2016,Manual,68985,Diesel,20,68.9,2.0,11498
5 Series,2016,Automatic,97290,Diesel,30,62.8,2.0,11799
1 Series,2014,Automatic,46000,Petrol,235,37.7,3.0,14995
X3,2016,Semi-Auto,35700,Diesel,145,54.3,2.0,21995
4 Series,2016,Automatic,39218,Diesel,30,65.7,2.0,16807
X5,2012,Automatic,214000,Diesel,300,37.7,3.0,7250
3 Series,2019,Semi-Auto,3150,Petrol,145,42.2,2.0,29995
2 Series,2015,Manual,89569,Diesel,30,62.8,2.0,7999
3 Series,2019,Semi-Auto,6,Petrol,145,42.2,2.0,28990
1 Series,2015,Manual,29454,Petrol,30,56.5,1.5,10430
3 Series,2014,Automatic,48100,Diesel,160,52.3,3.0,17499
4 Series,2019,Automatic,123,Petrol,145,48.7,2.0,31356
X1,2019,Semi-Auto,4575,Diesel,145,60.1,2.0,25999
4 Series,2020,Semi-Auto,151,Diesel,150,47.9,3.0,39250
2 Series,2019,Manual,11,Petrol,145,42.2,1.5,21995
4 Series,2019,Automatic,123,Diesel,145,65.7,2.0,29361
2 Series,2014,Manual,57000,Diesel,125,58.9,2.0,10990
1 Series,2019,Manual,15,Diesel,145,72.4,1.5,19980
4 Series,2019,Semi-Auto,2649,Petrol,145,41.5,3.0,30980
4 Series,2020,Semi-Auto,18,Diesel,150,58.9,2.0,42495
2 Series,2017,Automatic,21284,Petrol,145,48.7,2.0,16512
3 Series,2019,Semi-Auto,2344,Diesel,145,62.8,2.0,25950
X2,2019,Semi-Auto,3235,Petrol,145,34.0,2.0,33520
5 Series,2015,Automatic,64560,Diesel,30,62.8,2.0,13450
X1,2017,Automatic,29657,Diesel,145,65.7,2.0,16400
3 Series,2016,Automatic,14867,Diesel,145,56.5,3.0,16995
6 Series,2016,Automatic,45140,Diesel,200,49.6,3.0,20999
X3,2019,Semi-Auto,2538,Diesel,145,54.3,2.0,33990
M4,2017,Automatic,5735,Petrol,145,32.5,3.0,39950
X1,2016,Manual,32383,Diesel,20,68.9,2.0,16780
X3,2019,Semi-Auto,2451,Diesel,145,54.3,2.0,35998
2 Series,2019,Semi-Auto,8319,Diesel,150,51.4,2.0,22895
3 Series,2016,Automatic,65000,Diesel,125,57.6,2.0,14800
1 Series,2020,Semi-Auto,151,Petrol,150,34.5,2.0,32972
2 Series,2017,Automatic,39370,Diesel,150,68.9,2.0,12000
4 Series,2017,Semi-Auto,14465,Diesel,145,65.7,2.0,19494
5 Series,2004,Automatic,90000,Petrol,325,26.6,4.4,4250
6 Series,2017,Automatic,18000,Diesel,145,51.4,3.0,28900
4 Series,2019,Automatic,1500,Diesel,145,60.1,2.0,35999
X1,2015,Automatic,27460,Diesel,125,57.6,2.0,17700
1 Series,2019,Manual,2771,Petrol,150,41.5,1.5,26995
3 Series,2015,Manual,33902,Diesel,30,65.7,2.0,12189
1 Series,2016,Semi-Auto,15621,Diesel,30,65.7,2.0,15498
3 Series,2018,Manual,7000,Diesel,145,67.3,2.0,16999
X1,2019,Manual,105,Diesel,145,60.1,2.0,31490
X3,2016,Semi-Auto,38489,Diesel,145,54.3,2.0,20931
1 Series,2017,Manual,32140,Diesel,145,72.4,1.5,11999
X4,2019,Semi-Auto,9374,Diesel,145,37.2,3.0,46450
M5,2019,Semi-Auto,4800,Petrol,145,26.9,4.4,65000
3 Series,2019,Semi-Auto,21,Diesel,145,70.6,2.0,23500
1 Series,2019,Manual,3024,Petrol,145,41.5,1.5,24400
X6,2020,Semi-Auto,5000,Diesel,145,34.9,3.0,55995
X5,2017,Automatic,24860,Diesel,145,47.1,3.0,30400
3 Series,2019,Semi-Auto,20175,Diesel,145,60.1,2.0,22998
1 Series,2010,Manual,93800,Diesel,30,62.8,2.0,4995
2 Series,2016,Semi-Auto,20379,Diesel,125,60.1,2.0,17965
1 Series,2016,Semi-Auto,34700,Diesel,20,67.3,2.0,14995
X3,2019,Automatic,6172,Diesel,145,54.3,2.0,31436
3 Series,2015,Semi-Auto,40443,Diesel,165,51.4,3.0,18981
3 Series,2019,Semi-Auto,6250,Diesel,145,43.5,3.0,40980
6 Series,2017,Semi-Auto,25975,Diesel,160,51.4,3.0,23990
3 Series,2015,Automatic,30345,Diesel,125,58.9,2.0,16189
2 Series,2019,Automatic,1689,Petrol,145,50.4,2.0,20500
5 Series,2019,Semi-Auto,7609,Diesel,145,65.7,2.0,26380
1 Series,2016,Automatic,19908,Petrol,235,37.7,3.0,18999
Z4,2019,Automatic,1682,Petrol,145,38.7,2.0,31500
1 Series,2019,Semi-Auto,1954,Diesel,145,48.7,2.0,31771
1 Series,2017,Manual,37919,Diesel,20,72.4,1.5,12498
X1,2019,Manual,123,Petrol,145,39.8,1.5,27440
1 Series,2015,Manual,25640,Diesel,30,62.8,2.0,14498
1 Series,2018,Semi-Auto,21341,Petrol,145,32.5,3.0,22320
5 Series,2016,Semi-Auto,30089,Diesel,125,60.1,2.0,17991
3 Series,2016,Semi-Auto,28590,Diesel,145,56.5,3.0,17640
X6,2016,Automatic,43600,Diesel,200,44.8,3.0,29995
X3,2019,Semi-Auto,5492,Diesel,145,54.3,2.0,34950
3 Series,2013,Manual,49102,Diesel,125,57.6,2.0,10170
X6,2018,Automatic,40000,Diesel,145,40.9,3.0,34990
X1,2017,Automatic,33514,Diesel,145,60.1,2.0,18900
3 Series,2015,Automatic,61980,Diesel,125,57.6,2.0,15500
1 Series,2017,Manual,41925,Diesel,0,78.5,1.5,11339
1 Series,2019,Semi-Auto,11804,Diesel,145,70.6,2.0,17898
1 Series,2016,Manual,19732,Diesel,30,62.8,2.0,15700
i3,2016,Automatic,8421,Hybrid,0,470.8,0.0,19490
7 Series,2019,Automatic,7689,Diesel,145,44.1,3.0,45640
5 Series,2010,Automatic,55000,Petrol,555,27.2,4.4,11999
2 Series,2015,Manual,60891,Diesel,20,68.9,2.0,9698
3 Series,2018,Manual,19281,Diesel,145,60.1,2.0,15620
4 Series,2019,Semi-Auto,14000,Diesel,145,50.4,3.0,29000
2 Series,2019,Manual,110,Petrol,145,52.3,1.5,20750
1 Series,2017,Manual,31000,Diesel,20,68.9,2.0,11490
X4,2016,Semi-Auto,64000,Diesel,145,54.3,2.0,20022
3 Series,2018,Automatic,8721,Petrol,145,43.5,2.0,22999
3 Series,2016,Automatic,97600,Diesel,30,64.2,2.0,12000
3 Series,2011,Manual,112000,Diesel,30,62.8,2.0,4994
X5,2014,Automatic,35881,Diesel,240,44.8,3.0,27581
M4,2019,Automatic,99,Petrol,145,34.0,3.0,57800
5 Series,2016,Automatic,16095,Diesel,30,62.8,2.0,16900
3 Series,2019,Semi-Auto,6093,Diesel,150,48.7,2.0,28980
3 Series,2019,Semi-Auto,9666,Diesel,150,52.3,2.0,25980
5 Series,2015,Automatic,25000,Diesel,20,68.9,2.0,13990
M5,2018,Automatic,13500,Petrol,150,24.1,4.4,65948
X1,2019,Manual,999,Diesel,145,68.9,2.0,28383
7 Series,2019,Automatic,1775,Diesel,145,41.5,3.0,51950
5 Series,2015,Automatic,18641,Petrol,200,43.5,2.0,16899
3 Series,2020,Semi-Auto,10,Diesel,145,53.3,2.0,33995
5 Series,2020,Semi-Auto,1000,Diesel,145,65.7,2.0,30995
1 Series,2013,Automatic,37808,Diesel,30,64.2,2.0,10965
3 Series,2019,Semi-Auto,10405,Diesel,150,52.3,2.0,26980
5 Series,2013,Automatic,60702,Diesel,125,57.6,2.0,11982
2 Series,2017,Semi-Auto,16261,Petrol,145,39.8,3.0,23875
X5,2015,Automatic,65879,Diesel,200,47.1,3.0,22100
2 Series,2019,Semi-Auto,28,Petrol,145,50.4,1.5,23074
M4,2017,Semi-Auto,60584,Petrol,150,34.0,3.0,29991
X3,2019,Semi-Auto,7861,Diesel,145,54.3,2.0,33980
X3,2019,Semi-Auto,2864,Diesel,145,54.3,2.0,36000
1 Series,2018,Manual,5531,Petrol,145,37.2,1.5,16139
X4,2019,Semi-Auto,6449,Diesel,145,37.2,3.0,41999
X5,2019,Semi-Auto,9607,Petrol,150,27.2,3.0,51990
3 Series,2019,Semi-Auto,7460,Diesel,145,48.7,2.0,29990
1 Series,2013,Manual,31128,Diesel,30,62.8,2.0,8999
4 Series,2019,Automatic,3403,Diesel,145,60.1,2.0,29999
X1,2017,Manual,19980,Diesel,20,68.9,2.0,16995
4 Series,2019,Automatic,8016,Diesel,145,60.1,2.0,25000
3 Series,2016,Manual,50000,Diesel,125,58.9,2.0,13490
4 Series,2019,Semi-Auto,6567,Petrol,145,48.7,2.0,23490
5 Series,2017,Automatic,31996,Diesel,145,65.7,2.0,19917
3 Series,2016,Automatic,66173,Diesel,125,60.1,2.0,15000
X5,2019,Automatic,5914,Diesel,145,37.7,3.0,43946
1 Series,2016,Manual,37500,Diesel,20,72.4,1.5,10985
1 Series,2019,Semi-Auto,5810,Petrol,145,40.4,1.5,24862
X1,2017,Manual,13278,Diesel,125,58.9,2.0,18498
1 Series,2019,Manual,15,Diesel,145,68.9,2.0,20980
5 Series,2016,Manual,69850,Diesel,30,65.7,2.0,11995
3 Series,2014,Manual,103260,Diesel,125,58.9,2.0,9295
3 Series,2017,Manual,24589,Diesel,150,67.3,2.0,14200
1 Series,2017,Manual,32380,Diesel,30,65.7,2.0,14000
X6,2019,Semi-Auto,2500,Petrol,145,26.4,3.0,59990
M3,2017,Semi-Auto,30573,Petrol,300,34.0,3.0,37572
4 Series,2014,Manual,38000,Diesel,125,57.6,2.0,15888
3 Series,2018,Semi-Auto,3582,Petrol,150,48.7,2.0,21875
4 Series,2016,Semi-Auto,21972,Diesel,30,65.7,2.0,19881
3 Series,2019,Semi-Auto,21165,Diesel,145,48.7,2.0,26498
1 Series,2017,Semi-Auto,25131,Petrol,145,55.5,1.5,15391
X1,2019,Automatic,5231,Petrol,145,48.7,2.0,27280
X3,2014,Semi-Auto,33655,Diesel,165,50.4,2.0,13995
4 Series,2016,Automatic,14613,Diesel,125,60.1,2.0,20991
2 Series,2020,Semi-Auto,3000,Petrol,145,47.9,2.0,26989
5 Series,2019,Semi-Auto,12250,Diesel,150,53.3,3.0,33000
1 Series,2019,Semi-Auto,17950,Diesel,150,67.3,2.0,18980
2 Series,2017,Automatic,20996,Diesel,20,68.9,2.0,13700
X2,2020,Semi-Auto,6000,Petrol,145,34.0,2.0,38989
M5,2019,Automatic,4359,Petrol,150,24.1,4.4,68850
2 Series,2020,Semi-Auto,1000,Petrol,145,47.9,2.0,29995
3 Series,2019,Semi-Auto,8196,Diesel,145,62.8,2.0,24450
X5,2016,Automatic,72219,Diesel,205,47.1,3.0,24000
5 Series,2019,Semi-Auto,101,Hybrid,145,60.1,2.0,31750
3 Series,2015,Automatic,29595,Diesel,30,62.8,2.0,11999
1 Series,2016,Manual,22054,Diesel,20,72.4,1.5,11985
3 Series,2017,Automatic,27288,Petrol,150,46.3,2.0,17300
3 Series,2017,Automatic,22457,Diesel,160,49.6,3.0,17700
X1,2016,Manual,13449,Diesel,20,68.9,2.0,15000
3 Series,2016,Manual,27663,Diesel,30,64.2,2.0,15000
3 Series,2019,Semi-Auto,4873,Petrol,145,34.9,3.0,37980
1 Series,2013,Manual,37233,Petrol,150,49.6,1.6,8990
3 Series,2014,Automatic,63223,Diesel,20,68.9,2.0,9900
1 Series,2020,Semi-Auto,1250,Diesel,145,48.7,2.0,31495
1 Series,2020,Manual,1638,Petrol,145,41.5,1.5,27950
i3,2017,Automatic,33021,Hybrid,0,470.8,0.0,18995
2 Series,2019,Semi-Auto,2318,Petrol,145,47.9,2.0,23998
2 Series,2019,Automatic,3890,Diesel,145,48.7,2.0,25449
5 Series,2014,Semi-Auto,80826,Diesel,30,62.8,2.0,12630
X3,2019,Automatic,2489,Diesel,145,54.3,2.0,32376
X7,2019,Semi-Auto,17561,Petrol,145,24.8,3.0,67989
5 Series,2019,Semi-Auto,579,Diesel,145,60.1,2.0,31775
4 Series,2016,Automatic,129590,Petrol,150,48.7,2.0,13000
4 Series,2017,Semi-Auto,24471,Diesel,30,65.7,2.0,19142
5 Series,2019,Semi-Auto,8351,Diesel,145,65.7,2.0,26350
X2,2019,Semi-Auto,14230,Diesel,145,58.9,2.0,28980
1 Series,2017,Manual,17888,Petrol,260,36.2,3.0,18998
X5,2019,Semi-Auto,9341,Diesel,145,37.7,3.0,44850
X3,2019,Semi-Auto,5554,Petrol,145,34.5,3.0,43500
1 Series,2019,Manual,4630,Petrol,145,44.1,1.5,20980
1 Series,2016,Manual,37680,Diesel,0,83.1,1.5,9700
X1,2019,Automatic,4783,Petrol,145,46.3,1.5,23516
2 Series,2020,Automatic,1221,Diesel,145,49.6,2.0,26988
3 Series,2013,Manual,56423,Petrol,200,40.4,2.0,10200
3 Series,2014,Manual,24904,Petrol,165,44.8,2.0,11471
X5,2020,Semi-Auto,500,Diesel,145,37.7,3.0,59993
3 Series,2013,Manual,93729,Petrol,125,53.3,1.6,6995
X1,2019,Semi-Auto,1000,Diesel,145,60.1,2.0,28995
3 Series,2017,Automatic,46567,Diesel,30,67.3,2.0,12991
5 Series,2019,Semi-Auto,2743,Diesel,145,60.1,2.0,29898
1 Series,2017,Automatic,27656,Diesel,145,72.4,1.5,12499
1 Series,2018,Semi-Auto,17493,Petrol,150,39.8,3.0,23999
5 Series,2019,Automatic,2891,Diesel,145,60.1,2.0,28836
5 Series,2019,Semi-Auto,5951,Petrol,150,50.4,2.0,25980
4 Series,2015,Automatic,47822,Diesel,30,65.7,2.0,15995
2 Series,2016,Manual,26883,Petrol,125,52.3,1.5,11495
3 Series,2013,Automatic,29500,Diesel,30,62.8,2.0,12799
X4,2015,Automatic,26722,Diesel,205,47.9,3.0,21800
2 Series,2016,Semi-Auto,28966,Petrol,125,52.3,1.5,15814
5 Series,2019,Automatic,6000,Diesel,145,53.3,3.0,33980
4 Series,2019,Semi-Auto,7670,Diesel,145,65.7,2.0,24975
M4,2016,Automatic,33113,Petrol,300,34.0,3.0,32983
4 Series,2016,Automatic,83359,Diesel,30,65.7,2.0,13300
5 Series,2017,Automatic,17117,Diesel,145,65.7,2.0,22995
4 Series,2019,Semi-Auto,8028,Diesel,150,53.3,3.0,27950
Z4,2019,Semi-Auto,8810,Petrol,145,37.2,2.0,33990
3 Series,2015,Automatic,50713,Petrol,125,51.4,2.0,11906
X5,2019,Automatic,4010,Diesel,145,33.6,3.0,58000
3 Series,2020,Semi-Auto,319,Petrol,145,42.2,2.0,40150
X1,2018,Automatic,14968,Diesel,150,60.1,2.0,22950
1 Series,2018,Automatic,32383,Petrol,145,32.5,3.0,20600
4 Series,2014,Automatic,19500,Diesel,160,50.4,3.0,19725
X1,2016,Semi-Auto,25710,Diesel,30,65.7,2.0,17360
X3,2019,Semi-Auto,6500,Diesel,145,54.3,2.0,33292
X1,2017,Semi-Auto,56728,Diesel,145,65.7,2.0,16485
1 Series,2015,Manual,15113,Diesel,20,72.4,1.5,12100
5 Series,2019,Semi-Auto,6111,Diesel,145,60.1,2.0,31995
1 Series,2018,Manual,14287,Diesel,145,65.7,2.0,15499
2 Series,2016,Automatic,23594,Hybrid,0,141.2,1.5,16195
X1,2016,Manual,45479,Diesel,125,58.9,2.0,14200
2 Series,2015,Manual,40789,Diesel,0,74.3,1.5,9100
3 Series,2019,Automatic,3725,Diesel,145,50.4,2.0,33444
X3,2015,Automatic,42000,Diesel,145,54.3,2.0,20250
X4,2019,Semi-Auto,2740,Diesel,145,42.8,2.0,36980
1 Series,2014,Automatic,35051,Diesel,30,64.2,2.0,11100
2 Series,2020,Semi-Auto,13,Petrol,145,50.4,1.5,20980
2 Series,2019,Manual,1000,Petrol,145,52.3,1.5,20980
X4,2019,Semi-Auto,9829,Diesel,145,42.8,2.0,34999
X5,2010,Automatic,77000,Diesel,300,37.7,3.0,12990
5 Series,2018,Semi-Auto,30418,Diesel,145,60.1,3.0,25995
5 Series,2019,Semi-Auto,10312,Diesel,145,65.7,2.0,26350
X3,2019,Semi-Auto,13191,Petrol,145,30.4,2.0,31400
X3,2015,Automatic,36054,Diesel,145,54.3,2.0,20850
3 Series,2019,Semi-Auto,7035,Diesel,145,48.7,2.0,27999
3 Series,2015,Semi-Auto,30760,Diesel,145,56.5,3.0,17999
4 Series,2018,Semi-Auto,24118,Diesel,150,65.7,2.0,21990
X3,2016,Semi-Auto,9214,Diesel,150,54.3,2.0,22950
4 Series,2016,Manual,32157,Petrol,200,42.8,2.0,15499
3 Series,2018,Manual,12311,Diesel,150,62.8,2.0,17490
4 Series,2019,Semi-Auto,101,Diesel,145,65.7,2.0,26940
3 Series,2019,Semi-Auto,13268,Diesel,145,48.7,2.0,26998
3 Series,2017,Semi-Auto,25632,Diesel,145,49.6,3.0,27490
4 Series,2017,Semi-Auto,8333,Petrol,145,48.7,2.0,19998
Z4,2020,Semi-Auto,10,Petrol,145,37.2,2.0,33990
4 Series,2018,Automatic,27133,Petrol,145,44.8,2.0,16900
X5,2016,Automatic,34356,Diesel,200,47.1,3.0,31362
1 Series,2013,Manual,75323,Petrol,145,49.6,1.6,7440
X1,2017,Semi-Auto,33814,Diesel,145,57.7,2.0,19000
1 Series,2015,Manual,61959,Diesel,20,68.9,2.0,8700
X1,2016,Semi-Auto,50378,Diesel,125,57.6,2.0,17998
X1,2019,Manual,7000,Petrol,150,51.4,1.5,22500
X1,2018,Manual,27041,Diesel,145,68.9,2.0,16500
X3,2015,Semi-Auto,34104,Diesel,145,54.3,2.0,20898
2 Series,2016,Manual,48551,Petrol,145,47.1,1.5,12800
1 Series,2019,Manual,10,Petrol,145,44.1,1.5,23990
3 Series,2019,Semi-Auto,5966,Diesel,145,52.3,2.0,26980
3 Series,2017,Semi-Auto,19822,Diesel,145,53.3,3.0,20998
2 Series,2019,Manual,12,Petrol,145,42.2,1.5,22275
4 Series,2016,Semi-Auto,46500,Diesel,160,52.3,3.0,16591
1 Series,2016,Semi-Auto,17533,Petrol,30,58.9,1.5,13980
X5,2015,Automatic,31885,Diesel,160,52.3,2.0,26500
X3,2019,Semi-Auto,105,Diesel,145,54.3,2.0,36440
3 Series,2013,Semi-Auto,88000,Diesel,125,57.6,3.0,11950
X5,2020,Semi-Auto,150,Diesel,150,33.6,3.0,63295
X5,2017,Automatic,35032,Diesel,145,47.1,3.0,29450
3 Series,2015,Automatic,91969,Diesel,20,68.9,2.0,9350
1 Series,2019,Manual,4100,Petrol,150,41.5,1.5,21898
3 Series,2015,Automatic,78680,Diesel,160,52.3,3.0,14999
5 Series,2013,Automatic,33279,Diesel,120,60.1,2.0,12950
1 Series,2015,Automatic,25345,Petrol,145,48.7,1.6,11000
2 Series,2020,Semi-Auto,15,Petrol,150,50.4,2.0,21950
1 Series,2017,Semi-Auto,24552,Petrol,145,39.8,3.0,22480
3 Series,2020,Semi-Auto,2252,Petrol,145,34.9,3.0,43995
1 Series,2019,Semi-Auto,4812,Petrol,145,47.9,2.0,19998
7 Series,2017,Automatic,25014,Diesel,145,57.6,3.0,25599
2 Series,2016,Manual,49636,Petrol,125,53.3,1.5,11499
1 Series,2019,Semi-Auto,748,Diesel,150,70.6,2.0,18499
X1,2017,Automatic,10048,Diesel,150,60.1,2.0,22000
1 Series,2016,Semi-Auto,15921,Petrol,235,37.7,3.0,19790
5 Series,2017,Semi-Auto,66068,Diesel,145,51.4,3.0,27152
X3,2020,Automatic,5000,Diesel,145,54.3,2.0,34988
1 Series,2017,Manual,12194,Petrol,125,52.3,1.5,16475
1 Series,2017,Automatic,8000,Petrol,150,54.3,1.5,17448
2 Series,2015,Manual,46555,Diesel,125,60.1,2.0,14950
3 Series,2006,Manual,76000,Diesel,160,50.4,2.0,2795
1 Series,2019,Automatic,7880,Petrol,145,55.5,1.5,15989
2 Series,2020,Automatic,2980,Petrol,145,40.9,1.5,25000
1 Series,2017,Semi-Auto,11950,Petrol,145,39.8,3.0,22995
2 Series,2019,Semi-Auto,8257,Petrol,145,47.9,2.0,23806
4 Series,2017,Automatic,56292,Diesel,145,70.6,2.0,14778
1 Series,2016,Manual,33835,Petrol,30,56.5,1.5,9800
X1,2016,Manual,26436,Diesel,20,68.9,2.0,14999
3 Series,2017,Semi-Auto,19888,Diesel,145,51.4,3.0,23843
1 Series,2019,Semi-Auto,2635,Petrol,145,54.3,1.5,19940
3 Series,2016,Automatic,46871,Diesel,145,56.5,3.0,15230
X5,2009,Automatic,68000,Diesel,325,34.0,3.0,13190
2 Series,2017,Semi-Auto,30330,Diesel,145,64.2,2.0,15998
4 Series,2018,Semi-Auto,27120,Petrol,150,48.7,2.0,17980
4 Series,2015,Semi-Auto,35300,Diesel,125,58.9,2.0,16991
5 Series,2017,Semi-Auto,23116,Diesel,30,62.8,2.0,20995
Z4,2015,Semi-Auto,48444,Petrol,200,41.5,2.0,13498
1 Series,2019,Semi-Auto,4210,Diesel,145,51.4,2.0,26880
1 Series,2016,Manual,71603,Diesel,20,70.6,1.5,9990
1 Series,2019,Semi-Auto,11137,Diesel,145,72.4,1.5,16950
1 Series,2019,Semi-Auto,6742,Diesel,145,65.7,2.0,21116
X5,2019,Automatic,8093,Diesel,145,37.7,3.0,43706
3 Series,2018,Semi-Auto,59348,Diesel,150,57.6,2.0,19998
4 Series,2016,Automatic,84140,Diesel,30,65.7,2.0,13295
4 Series,2019,Automatic,5500,Petrol,145,41.5,3.0,38995
3 Series,2019,Semi-Auto,298,Diesel,145,53.3,2.0,24480
3 Series,2015,Automatic,27153,Diesel,30,62.8,2.0,12999
2 Series,2019,Automatic,4000,Petrol,145,47.9,2.0,25000
1 Series,2015,Manual,60761,Diesel,30,65.7,2.0,8999
X1,2019,Automatic,105,Petrol,145,40.9,1.5,27980
4 Series,2019,Semi-Auto,3516,Petrol,145,48.7,2.0,25490
1 Series,2018,Automatic,16475,Petrol,145,39.8,3.0,21999
3 Series,2016,Automatic,52000,Diesel,30,64.2,2.0,14500
X5,2019,Semi-Auto,4729,Diesel,145,37.7,3.0,50990
X4,2016,Automatic,52131,Diesel,150,54.3,2.0,20470
3 Series,2015,Manual,34533,Diesel,125,60.1,2.0,13000
X5,2020,Semi-Auto,123,Diesel,145,37.7,3.0,62991
1 Series,2019,Manual,3251,Petrol,145,44.1,1.5,21500
3 Series,2019,Semi-Auto,13004,Diesel,145,67.3,2.0,22198
X1,2019,Semi-Auto,2865,Diesel,145,36.7,2.0,31280
3 Series,2016,Automatic,67801,Diesel,125,60.1,2.0,14750
3 Series,2002,Manual,99000,Petrol,325,30.1,2.2,2350
5 Series,2018,Automatic,24501,Diesel,145,60.1,2.0,24999
5 Series,2019,Semi-Auto,13929,Diesel,150,65.7,2.0,26990
3 Series,2018,Automatic,28438,Diesel,145,62.8,2.0,18157
X3,2019,Automatic,6123,Diesel,145,54.3,2.0,34995
X2,2019,Semi-Auto,10,Petrol,145,34.0,2.0,32000
1 Series,2017,Manual,12000,Diesel,145,72.4,1.5,11990
X4,2017,Automatic,34960,Diesel,150,54.3,2.0,23000
1 Series,2013,Manual,56370,Petrol,145,50.4,1.6,9899
2 Series,2019,Semi-Auto,5045,Diesel,145,51.4,2.0,19498
3 Series,2013,Semi-Auto,35500,Diesel,145,55.4,2.0,14990
4 Series,2015,Manual,36781,Diesel,145,53.3,2.0,14999
5 Series,2019,Semi-Auto,10,Diesel,145,53.3,3.0,36875
5 Series,2020,Semi-Auto,6000,Hybrid,145,60.1,2.0,31995
2 Series,2016,Manual,11656,Petrol,125,52.3,1.5,12299
3 Series,2014,Semi-Auto,26311,Hybrid,135,47.9,3.0,17999
1 Series,2017,Manual,21171,Petrol,260,36.2,3.0,19498
7 Series,2019,Automatic,8546,Diesel,145,41.5,3.0,55000
X3,2015,Semi-Auto,26000,Diesel,205,47.9,3.0,22000
3 Series,2017,Semi-Auto,23505,Diesel,145,64.2,2.0,18995
2 Series,2019,Automatic,123,Diesel,145,49.6,2.0,21773
X4,2017,Semi-Auto,18441,Diesel,145,54.3,2.0,23000
Z4,2020,Semi-Auto,101,Petrol,150,37.2,2.0,34990
X5,2019,Semi-Auto,6439,Diesel,145,37.7,3.0,48990
3 Series,2014,Automatic,74534,Diesel,125,58.9,2.0,11400
X1,2016,Semi-Auto,17699,Petrol,160,44.8,2.0,20845
3 Series,2016,Automatic,80077,Diesel,20,70.6,2.0,10800
Z4,2019,Automatic,11,Petrol,145,38.7,2.0,32995
X5,2019,Automatic,6283,Petrol,145,27.2,3.0,52500
X3,2017,Semi-Auto,64648,Diesel,145,54.3,2.0,17380
3 Series,2018,Semi-Auto,17810,Diesel,145,60.1,2.0,21998
3 Series,2015,Semi-Auto,38218,Diesel,165,51.4,3.0,18500
2 Series,2014,Manual,31289,Diesel,30,62.8,2.0,11999
2 Series,2019,Semi-Auto,101,Diesel,145,67.3,2.0,21950
4 Series,2019,Semi-Auto,6370,Diesel,145,65.7,2.0,25400
X3,2015,Semi-Auto,43626,Diesel,150,54.3,2.0,17994
2 Series,2017,Semi-Auto,20185,Petrol,150,50.4,1.5,14340
1 Series,2008,Manual,101000,Diesel,125,58.9,2.0,4695
1 Series,2019,Semi-Auto,7233,Diesel,150,68.9,1.5,19812
5 Series,2015,Manual,26355,Diesel,160,52.3,2.0,17500
3 Series,2014,Automatic,101040,Diesel,165,52.3,3.0,10795
Z4,2014,Manual,22080,Petrol,205,41.5,2.0,13498
1 Series,2016,Manual,19188,Diesel,20,70.6,1.5,13998
3 Series,2017,Automatic,41162,Other,135,148.7,2.0,15200
1 Series,2017,Automatic,57414,Diesel,145,68.9,1.5,15400
3 Series,2019,Semi-Auto,1501,Petrol,145,43.5,2.0,27995
X4,2016,Semi-Auto,13005,Diesel,145,54.3,2.0,26995
5 Series,2015,Automatic,110540,Diesel,145,53.3,3.0,11795
X1,2017,Automatic,28161,Diesel,125,57.6,2.0,18100
3 Series,2015,Manual,92230,Diesel,30,65.7,2.0,8190
3 Series,2014,Semi-Auto,52106,Diesel,30,62.8,2.0,12890
3 Series,2019,Semi-Auto,11,Petrol,145,42.2,2.0,28495
1 Series,2015,Manual,50127,Diesel,125,57.6,2.0,11499
3 Series,2019,Semi-Auto,3763,Petrol,145,42.2,2.0,27180
3 Series,2019,Manual,11701,Diesel,150,54.3,2.0,27781
4 Series,2019,Automatic,1000,Diesel,145,65.7,2.0,25995
1 Series,2018,Manual,23635,Diesel,145,72.4,1.5,12399
i8,2019,Automatic,2799,Hybrid,135,141.2,1.5,64750
3 Series,2016,Semi-Auto,46889,Diesel,30,67.3,2.0,13994
X1,2016,Automatic,44478,Diesel,125,60.1,2.0,16700
5 Series,2019,Semi-Auto,105,Diesel,145,60.1,2.0,28650
5 Series,2019,Semi-Auto,6865,Diesel,145,60.1,2.0,27998
2 Series,2019,Semi-Auto,2069,Petrol,145,39.8,3.0,29995
X5,2013,Automatic,53102,Diesel,300,38.2,3.0,17990
1 Series,2013,Manual,39872,Petrol,300,33.2,3.0,15300
X1,2016,Manual,41377,Diesel,125,58.9,2.0,17000
3 Series,2017,Semi-Auto,32000,Diesel,145,62.8,2.0,17998
X3,2019,Semi-Auto,6792,Diesel,145,54.3,2.0,33262
3 Series,2014,Automatic,65033,Diesel,160,52.3,3.0,14250
3 Series,2019,Semi-Auto,12647,Diesel,145,52.3,2.0,25750
4 Series,2019,Automatic,10,Petrol,145,45.6,2.0,31980
X5,2019,Semi-Auto,9278,Diesel,145,37.7,3.0,47213
3 Series,2016,Manual,59833,Diesel,125,61.4,2.0,12950
1 Series,2016,Manual,24111,Petrol,145,47.1,1.6,12500
M3,2018,Semi-Auto,10222,Petrol,145,34.0,3.0,42202
4 Series,2015,Automatic,51873,Diesel,160,52.3,3.0,14799
